code,name,ticker
000679,大连友谊,000679.sz
000680,山推股份,000680.sz
000681,视觉中国,000681.sz
000682,东方电子,000682.sz
000683,远兴能源,000683.sz
000685,中山公用,000685.sz
000686,东北证券,000686.sz
000688,国城矿业,000688.sz
000690,宝新能源,000690.sz
000691,亚太实业,000691.sz
000692,惠天热电,000692.sz
000695,滨海能源,000695.sz
000697,炼石航空,000697.sz
000698,沈阳化工,000698.sz
000700,模塑科技,000700.sz
000701,厦门信达,000701.sz
000702,正虹科技,000702.sz
000703,恒逸石化,000703.sz
000705,浙江震元,000705.sz
000707,双环科技,000707.sz
000708,中信特钢,000708.sz
000709,河钢股份,000709.sz
000710,贝瑞基因,000710.sz
000711,*ST京蓝,000711.sz
000712,锦龙股份,000712.sz
000713,丰乐种业,000713.sz
000715,中兴商业,000715.sz
000716,黑芝麻,000716.sz
000717,中南股份,000717.sz
000718,苏宁环球,000718.sz
000719,中原传媒,000719.sz
000720,新能泰山,000720.sz
000721,西安饮食,000721.sz
000722,湖南发展,000722.sz
000723,美锦能源,000723.sz
000725,京东方Ａ,000725.sz
000726,鲁  泰Ａ,000726.sz
000727,冠捷科技,000727.sz
000728,国元证券,000728.sz
000729,燕京啤酒,000729.sz
000731,四川美丰,000731.sz
000733,振华科技,000733.sz
000735,罗 牛 山,000735.sz
000736,中交地产,000736.sz
000737,北方铜业,000737.sz
000738,航发控制,000738.sz
000739,普洛药业,000739.sz
000750,国海证券,000750.sz
000751,锌业股份,000751.sz
000752,ST西发,000752.sz
000753,漳州发展,000753.sz
000755,山西高速,000755.sz
000756,新华制药,000756.sz
000757,浩物股份,000757.sz
000758,中色股份,000758.sz
000759,中百集团,000759.sz
000761,本钢板材,000761.sz
000762,西藏矿业,000762.sz
000766,通化金马,000766.sz
000767,晋控电力,000767.sz
000768,中航西飞,000768.sz
000776,广发证券,000776.sz
000777,中核科技,000777.sz
000778,新兴铸管,000778.sz
000779,甘咨询,000779.sz
000782,恒申新材,000782.sz
000783,长江证券,000783.sz
000785,居然之家,000785.sz
000786,北新建材,000786.sz
000788,北大医药,000788.sz
000789,万年青,000789.sz
000790,华神科技,000790.sz
000791,甘肃能源,000791.sz
000792,盐湖股份,000792.sz
000793,华闻集团,000793.sz
000795,英洛华,000795.sz
000796,凯撒旅业,000796.sz
000797,中国武夷,000797.sz
000798,中水渔业,000798.sz
000799,酒鬼酒,000799.sz
000800,一汽解放,000800.sz
000801,四川九洲,000801.sz
000802,北京文化,000802.sz
000803,山高环能,000803.sz
000807,云铝股份,000807.sz
000809,*ST和展,000809.sz
000810,创维数字,000810.sz
000811,冰轮环境,000811.sz
000812,陕西金叶,000812.sz
000813,德展健康,000813.sz
000815,美利云,000815.sz
000816,智慧农业,000816.sz
000818,航锦科技,000818.sz
000819,岳阳兴长,000819.sz
000820,神雾节能,000820.sz
000821,京山轻机,000821.sz
000822,山东海化,000822.sz
000823,超声电子,000823.sz
000825,太钢不锈,000825.sz
000826,启迪环境,000826.sz
000828,东莞控股,000828.sz
000829,天音控股,000829.sz
000830,鲁西化工,000830.sz
000831,中国稀土,000831.sz
000833,粤桂股份,000833.sz
000837,秦川机床,000837.sz
000838,财信发展,000838.sz
000839,中信国安,000839.sz
000848,承德露露,000848.sz
000850,华茂股份,000850.sz
000851,ST高鸿,000851.sz
000852,石化机械,000852.sz
000856,冀东装备,000856.sz
000858,五 粮 液,000858.sz
000859,国风新材,000859.sz
000860,顺鑫农业,000860.sz
000862,银星能源,000862.sz
000863,三湘印象,000863.sz
000868,安凯客车,000868.sz
000869,张  裕Ａ,000869.sz
000875,吉电股份,000875.sz
000876,新 希 望,000876.sz
000877,天山股份,000877.sz
000878,云南铜业,000878.sz
000880,潍柴重机,000880.sz
000881,中广核技,000881.sz
000882,华联股份,000882.sz
000883,湖北能源,000883.sz
000885,城发环境,000885.sz
000886,海南高速,000886.sz
000887,中鼎股份,000887.sz
000888,峨眉山Ａ,000888.sz
000889,ST中嘉,000889.sz
000890,法尔胜,000890.sz
000892,欢瑞世纪,000892.sz
000893,亚钾国际,000893.sz
000895,双汇发展,000895.sz
000897,津滨发展,000897.sz
000898,鞍钢股份,000898.sz
000899,赣能股份,000899.sz
000900,现代投资,000900.sz
000901,航天科技,000901.sz
000902,新洋丰,000902.sz
000903,云内动力,000903.sz
000905,厦门港务,000905.sz
000906,浙商中拓,000906.sz
000908,*ST景峰,000908.sz
000909,ST数源,000909.sz
000910,大亚圣象,000910.sz
000911,广农糖业,000911.sz
000912,泸天化,000912.sz
000913,钱江摩托,000913.sz
000915,华特达因,000915.sz
000917,电广传媒,000917.sz
000919,金陵药业,000919.sz
000920,沃顿科技,000920.sz
000921,海信家电,000921.sz
000922,佳电股份,000922.sz
000923,河钢资源,000923.sz
000925,众合科技,000925.sz
000926,福星股份,000926.sz
000927,中国铁物,000927.sz
000928,中钢国际,000928.sz
000929,兰州黄河,000929.sz
000930,中粮科技,000930.sz
000931,中 关 村,000931.sz
000932,华菱钢铁,000932.sz
000933,神火股份,000933.sz
000935,四川双马,000935.sz
000936,华西股份,000936.sz
000937,冀中能源,000937.sz
000938,紫光股份,000938.sz
000948,南天信息,000948.sz
000949,新乡化纤,000949.sz
000950,重药控股,000950.sz
000951,中国重汽,000951.sz
000952,广济药业,000952.sz
000953,河化股份,000953.sz
000955,欣龙控股,000955.sz
000957,中通客车,000957.sz
000958,电投产融,000958.sz
000959,首钢股份,000959.sz
000960,锡业股份,000960.sz
000962,东方钽业,000962.sz
000963,华东医药,000963.sz
000965,天保基建,000965.sz
000966,长源电力,000966.sz
000967,盈峰环境,000967.sz
000968,蓝焰控股,000968.sz
000969,安泰科技,000969.sz
000970,中科三环,000970.sz
000972,中基健康,000972.sz
000973,佛塑科技,000973.sz
000975,山金国际,000975.sz
000977,浪潮信息,000977.sz
000978,桂林旅游,000978.sz
000980,众泰汽车,000980.sz
000981,山子高科,000981.sz
000983,山西焦煤,000983.sz
000985,大庆华科,000985.sz
000987,越秀资本,000987.sz
000988,华工科技,000988.sz
000989,ST九芝,000989.sz
000990,诚志股份,000990.sz
000993,闽东电力,000993.sz
000995,皇台酒业,000995.sz
000997,新 大 陆,000997.sz
000998,隆平高科,000998.sz
000999,华润三九,000999.sz
001201,东瑞股份,
001202,炬申股份,
001203,大中矿业,
001205,盛航股份,
001206,依依股份,
001207,联科科技,
001208,华菱线缆,
001209,洪兴股份,
001210,金房能源,
001211,双枪科技,
001212,中旗新材,
001213,中铁特货,
001215,千味央厨,
001216,华瓷股份,
001217,华尔泰,
001218,丽臣实业,
001219,青岛食品,
001222,源飞宠物,
001223,欧克科技,
001225,和泰机电,
001226,拓山重工,
001227,兰州银行,
001228,永泰运,
001229,魅视科技,
001230,劲旅环境,
001231,农心科技,
001234,泰慕士,
001236,弘业期货,
001238,浙江正特,
001239,永达股份,
001255,博菲电气,
001256,炜冈科技,
001258,立新能源,
001259,利仁科技,
001260,坤泰股份,
001266,宏英智能,
001267,汇绿生态,
001268,联合精密,
001269,欧晶科技,
001270,铖昌科技,
001277,速达股份,
001278,一彬科技,
001279,强邦新材,
001282,三联锻造,
001283,豪鹏科技,
001286,陕西能源,
001287,中电港,
001288,运机集团,
001289,龙源电力,
001296,长江材料,
001298,好上好,
001299,美能能源,
001300,三柏硕,
001301,尚太科技,
001306,夏厦精密,
001308,康冠科技,
001309,德明利,
001311,多利科技,
001313,粤海饲料,
001314,亿道信息,
001316,润贝航科,
001317,三羊马,
001318,阳光乳业,
001319,铭科精技,
001322,箭牌家居,
001323,慕思股份,
001324,长青科技,
001326,联域股份,
001328,登康口腔,
001330,博纳影业,
001331,胜通能源,
001332,锡装股份,
001333,光华股份,
001336,楚环科技,
001337,四川黄金,
001338,永顺泰,
001339,智微智能,
001358,兴欣新材,
001359,平安电工,
001360,南矿集团,
001366,播恩集团,
001367,海森药业,
001368,通达创智,
001373,翔腾新材,
001376,百通能源,
001378,德冠新材,
001379,腾达科技,
001380,华纬科技,
001387,雪祺电气,
001389,广合科技,
001696,宗申动力,
001872,招商港口,
001896,豫能控股,
001914,招商积余,
001965,招商公路,
001979,招商蛇口,
002001,新 和 成,002001.sz
002003,伟星股份,002003.sz
002004,华邦健康,002004.sz
002005,ST德豪,002005.sz
002006,精工科技,002006.sz
002007,华兰生物,002007.sz
002008,大族激光,002008.sz
002009,天奇股份,002009.sz
002010,传化智联,002010.sz
002011,盾安环境,002011.sz
002012,凯恩股份,002012.sz
002014,永新股份,002014.sz
002015,协鑫能科,002015.sz
002016,世荣兆业,002016.sz
002017,东信和平,002017.sz
002019,亿帆医药,002019.sz
002020,京新药业,002020.sz
002021,中捷资源,002021.sz
002022,科华生物,002022.sz
002023,海特高新,002023.sz
002024,ST易购,002024.sz
002025,航天电器,002025.sz
002026,山东威达,002026.sz
002027,分众传媒,002027.sz
002028,思源电气,002028.sz
002029,七 匹 狼,002029.sz
002030,达安基因,002030.sz
002031,巨轮智能,002031.sz
002032,苏 泊 尔,002032.sz
002033,丽江股份,002033.sz
002034,旺能环境,002034.sz
002035,华帝股份,002035.sz
002036,联创电子,002036.sz
002037,保利联合,002037.sz
002038,双鹭药业,002038.sz
002039,黔源电力,002039.sz
002040,南 京 港,002040.sz
002041,登海种业,002041.sz
002042,华孚时尚,002042.sz
002043,兔 宝 宝,002043.sz
002044,美年健康,002044.sz
002045,国光电器,002045.sz
002046,国机精工,002046.sz
002047,宝鹰股份,002047.sz
002048,宁波华翔,002048.sz
002049,紫光国微,002049.sz
002050,三花智控,002050.sz
002051,中工国际,002051.sz
002052,*ST同洲,002052.sz
002053,云南能投,002053.sz
002054,德美化工,002054.sz
002055,得润电子,002055.sz
002056,横店东磁,002056.sz
002057,中钢天源,002057.sz
002058,威尔泰,002058.sz
002059,云南旅游,002059.sz
002060,广东建工,002060.sz
002061,浙江交科,002061.sz
002062,宏润建设,002062.sz
002063,远光软件,002063.sz
002064,华峰化学,002064.sz
002065,东华软件,002065.sz
002066,瑞泰科技,002066.sz
002067,景兴纸业,002067.sz
002068,黑猫股份,002068.sz
002069,獐子岛,002069.sz
002072,凯瑞德,002072.sz
002073,软控股份,002073.sz
002074,国轩高科,002074.sz
002075,沙钢股份,002075.sz
002076,星光股份,002076.sz
002077,大港股份,002077.sz
002078,太阳纸业,002078.sz
002079,苏州固锝,002079.sz
002080,中材科技,002080.sz
002081,金 螳 螂,002081.sz
002082,万邦德,002082.sz
002083,孚日股份,002083.sz
002084,海鸥住工,002084.sz
002085,万丰奥威,002085.sz
002086,东方海洋,002086.sz
002088,鲁阳节能,002088.sz
002090,金智科技,002090.sz
002091,江苏国泰,002091.sz
002092,ST中泰,002092.sz
002093,国脉科技,002093.sz
002094,青岛金王,002094.sz
002095,生 意 宝,002095.sz
002096,易普力,002096.sz
002097,山河智能,002097.sz
002098,浔兴股份,002098.sz
002099,海翔药业,002099.sz
002100,天康生物,002100.sz
002101,广东鸿图,002101.sz
002102,能特科技,002102.sz
002103,广博股份,002103.sz
002104,恒宝股份,002104.sz
002105,信隆健康,002105.sz
002106,莱宝高科,002106.sz
002107,沃华医药,002107.sz
002108,沧州明珠,002108.sz
002109,兴化股份,002109.sz
002110,三钢闽光,002110.sz
002111,威海广泰,002111.sz
002112,三变科技,002112.sz
002114,罗平锌电,002114.sz
